ASX Code,Company Name,Link,Market Cap,Last trade,Change,%Change,Sector
CBA,Commonwealth Bank (ASX:CBA),https://www.listcorp.com/asx/cba/commonwealth-bank,"	305340000000",177.87,-4.6,-2.52,Financials
BHP,BHP Group Limited (ASX:BHP),https://www.listcorp.com/asx/bhp/bhp-group-limited,"	204512000000",40.46,0.17,0.42,Materials
CSL,CSL Limited (ASX:CSL),https://www.listcorp.com/asx/csl/csl-limited,"	124627000000",255.31,-2.06,-0.8,Health Care
NAB,National Australia Bank Limited (ASX:NAB),https://www.listcorp.com/asx/nab/national-australia-bank-limited,"	120040000000",38.25,-0.94,-2.4,Financials
WBC,Westpac Banking Corp (ASX:WBC),https://www.listcorp.com/asx/wbc/westpac,"	117410000000",33.07,-1.24,-3.61,Financials
WES,Wesfarmers Limited (ASX:WES),https://www.listcorp.com/asx/wes/wesfarmers-limited,"	95928200000",83.75,-0.82,-0.97,Consumer Discretionary
ANZ,ANZ Group Holdings Limited (ASX:ANZ),https://www.listcorp.com/asx/anz/anz-group-holdings-limited,"	91952100000",30.05,-0.77,-2.5,Financials
MQG,Macquarie Group Limited (ASX:MQG),https://www.listcorp.com/asx/mqg/macquarie-group-limited,"	86663200000",224.15,-3.23,-1.42,Financials
GMG,Goodman Group (ASX:GMG),https://www.listcorp.com/asx/gmg/goodman-group,"	71029400000",34.69,-0.28,-0.8,Real Estate
TLS,Telstra Group Limited (ASX:TLS),https://www.listcorp.com/asx/tls/telstra-group-limited,"	56469700000",4.93,-0.03,-0.6,Communication Services
FMG,Fortescue Ltd (ASX:FMG),https://www.listcorp.com/asx/fmg/fortescue-ltd,"	52342400000",17.25,0.25,1.47,Materials
WDS,Woodside Energy Group Ltd (ASX:WDS),https://www.listcorp.com/asx/wds/woodside-energy-group,"	46329500000",24.75,0.35,1.43,Energy
TCL,Transurban Group (ASX:TCL),https://www.listcorp.com/asx/tcl/transurban-group,"	42553700000",13.63,-0.06,-0.44,Industrials
ALL,Aristocrat Leisure Limited (ASX:ALL),https://www.listcorp.com/asx/all/aristocrat-leisure-limited,"	42503700000",67.2,-0.94,-1.38,Consumer Discretionary
RIO,Rio Tinto (ASX:RIO),https://www.listcorp.com/asx/rio/rio-tinto,"	41988300000",114.46,1.35,1.19,Materials
WTC,WiseTech Global Limited (ASX:WTC),https://www.listcorp.com/asx/wtc/wisetech-global-limited,"	38541900000",117.41,2.23,1.94,Information Technology
WOW,Woolworths Group Limited (ASX:WOW),https://www.listcorp.com/asx/wow/woolworths-group,"	38492500000",31.23,-0.28,-0.89,Consumer Staples
QBE,QBE Insurance Group Limited (ASX:QBE),https://www.listcorp.com/asx/qbe/qbe-insurance-group-limited,"	34956900000",22.71,-0.44,-1.9,Financials
PME,Pro Medicus Limited (ASX:PME),https://www.listcorp.com/asx/pme/pro-medicus,"	34261700000",321.51,-6.46,-1.97,Health Care
BXB,Brambles Limited (ASX:BXB),https://www.listcorp.com/asx/bxb/brambles-limited,"	32438800000",23.66,-0.07,-0.29,Industrials
SIG,Sigma Healthcare Limited (ASX:SIG),https://www.listcorp.com/asx/sig/sigma-healthcare-limited,"	32437800000",2.75,-0.06,-2.14,Health Care
REA,REA Group Ltd (ASX:REA),https://www.listcorp.com/asx/rea/rea-group,"	31716100000",239.57,-0.48,-0.2,Communication Services
XRO,Xero Limited (ASX:XRO),https://www.listcorp.com/asx/xro/xero-limited,"	29796000000",179.76,-1.25,-0.69,Information Technology
COL,Coles Group Limited (ASX:COL),https://www.listcorp.com/asx/col/coles-group-limited,"	27617500000",20.38,-0.21,-1.02,Consumer Staples
STO,Santos Limited (ASX:STO),https://www.listcorp.com/asx/sto/santos-limited,"	25332600000",7.82,0.02,0.26,Energy
CPU,Computershare Limited (ASX:CPU),https://www.listcorp.com/asx/cpu/computershare-limited,"	23997300000",41.01,-0.48,-1.16,Industrials
NST,Northern Star Resources Limited (ASX:NST),https://www.listcorp.com/asx/nst/northern-star-resources-limited,"	23599600000",16.28,-0.24,-1.45,Materials
RMD,ResMed Inc (ASX:RMD),https://www.listcorp.com/asx/rmd/resmed-inc,"	23218000000",39.72,-0.09,-0.23,Health Care
SUN,Suncorp Group Limited (ASX:SUN),https://www.listcorp.com/asx/sun/suncorp-group-limited,"	22341600000",20.33,-0.3,-1.45,Financials
VAS,Vanguard Australian Shares Index ETF (ASX:VAS),https://www.listcorp.com/asx/vas/vanguard-australian-shares-index-etf,"	21141800000",107.28,-1.09,-1.01,Unclassified
SGH,SGH Limited (ASX:SGH),https://www.listcorp.com/asx/sgh/sgh-limited,"	21005200000",51.76,0.15,0.29,Industrials
ORG,Origin Energy Limited (ASX:ORG),https://www.listcorp.com/asx/org/origin-energy-limited,"	20673000000",12,0,0,Utilities
COH,Cochlear Limited (ASX:COH),https://www.listcorp.com/asx/coh/cochlear-limited,"	20286800000",309.3,-0.9,-0.29,Health Care
IAG,Insurance Australia Group Limited (ASX:IAG),https://www.listcorp.com/asx/iag/insurance-australia-group-limited,"	20128600000",8.39,-0.12,-1.41,Financials
FPH,Fisher & Paykel Healthcare Corporation Limited (ASX:FPH),https://www.listcorp.com/asx/fph/fisher-and-paykel-healthcare-corporation-limited,"	19628400000",33.91,0.43,1.28,Health Care
SCG,Scentre Group Limited (ASX:SCG),https://www.listcorp.com/asx/scg/scentre-group-limited,"	19584600000",3.73,-0.03,-0.8,Real Estate
JHX,James Hardie Industries plc (ASX:JHX),https://www.listcorp.com/asx/jhx/james-hardie-industries-plc,"	17626000000",40.37,-0.63,-1.54,Materials
QAN,Qantas Airways Limited (ASX:QAN),https://www.listcorp.com/asx/qan/qantas-airways-limited,"	16796500000",10.93,-0.17,-1.53,Industrials
SOL,Washington H. Soul Pattinson and Company Limited (ASX:SOL),https://www.listcorp.com/asx/sol/washington-h.-soul-pattinson-and-company-limited,"	15321400000",41.04,-0.61,-1.46,Financials
EVN,Evolution Mining Limited (ASX:EVN),https://www.listcorp.com/asx/evn/evolution-mining-limited,"	15138000000",7.47,-0.09,-1.19,Materials
CAR,CAR Group Limited (ASX:CAR),https://www.listcorp.com/asx/car/car-group-limited,"	14256800000",37.05,-0.68,-1.8,Communication Services
ASX,ASX Limited (ASX:ASX),https://www.listcorp.com/asx/asx/asx-limited,"	13993400000",70.5,-1.52,-2.11,Financials
MPL,Medibank Private Limited (ASX:MPL),https://www.listcorp.com/asx/mpl/medibank-private-limited,"	13825100000",5.02,0,0,Financials
SHL,Sonic Healthcare Limited (ASX:SHL),https://www.listcorp.com/asx/shl/sonic-healthcare,"	13645900000",27.3,-0.31,-1.12,Health Care
TNE,Technology One Limited (ASX:TNE),https://www.listcorp.com/asx/tne/technology-one-limited,"	13435200000",40.1,-0.94,-2.29,Information Technology
SGP,Stockland (ASX:SGP),https://www.listcorp.com/asx/sgp/stockland,"	13295000000",5.49,-0.05,-0.9,Real Estate
S32,South32 Limited (ASX:S32),https://www.listcorp.com/asx/s32/south32-limited,"	13015500000",3.02,0.13,4.5,Materials
TLC,The Lottery Corporation Limited (ASX:TLC),https://www.listcorp.com/asx/tlc/the-lottery-corporation-limited,"	12019200000",5.37,-0.03,-0.56,Consumer Discretionary
AIA,Auckland International Airport Limited (ASX:AIA),https://www.listcorp.com/asx/aia/auckland-international-airport-limited,"	11833600000",7.07,0.06,0.86,Industrials
VGS,Vanguard MSCI Index International Shares ETF (ASX:VGS),https://www.listcorp.com/asx/vgs/vanguard-msci-index-international-shares-etf,"	11789700000",143.91,-0.51,-0.35,Unclassified
JBH,JB Hi-Fi Limited (ASX:JBH),https://www.listcorp.com/asx/jbh/jb-hi-fi-limited,"	11753400000",105.91,-1.59,-1.48,Consumer Discretionary
VCX,Vicinity Centres (ASX:VCX),https://www.listcorp.com/asx/vcx/vicinity-centres,"	11498500000",2.49,-0.03,-1.19,Real Estate
IVV,iShares S&P 500 ETF (ASX:IVV),https://www.listcorp.com/asx/ivv/ishares-s-and-p-500-etf,"	11380900000",64.46,-0.24,-0.37,Unclassified
APA,APA Group (ASX:APA),https://www.listcorp.com/asx/apa/apa-group,"	10801200000",8.25,-0.03,-0.36,Utilities
BSL,BlueScope Steel Limited (ASX:BSL),https://www.listcorp.com/asx/bsl/bluescope-steel-limited,"	10693300000",24.36,-0.02,-0.08,Materials
TPG,TPG Telecom Limited (ASX:TPG),https://www.listcorp.com/asx/tpg/tpg-telecom-limited,"	10449500000",5.51,-0.11,-1.96,Communication Services
IFT,Infratil Limited (ASX:IFT),https://www.listcorp.com/asx/ift/infratil-limited,"	10373900000",10.5,-0.09,-0.85,Financials
ORI,Orica Limited (ASX:ORI),https://www.listcorp.com/asx/ori/orica-limited,"	10050300000",20.78,-0.2,-0.95,Materials
GPT,The GPT Group (ASX:GPT),https://www.listcorp.com/asx/gpt/gpt-group,"	9769450000",5.05,-0.05,-0.98,Real Estate
NEM,Newmont Corporation (ASX:NEM),https://www.listcorp.com/asx/nem/newmont-corporation,"	9679540000",89.46,0.42,0.47,Materials
CHC,Charter Hall Group (ASX:CHC),https://www.listcorp.com/asx/chc/charter-hall-group,"	9549810000",19.72,-0.47,-2.33,Real Estate
AFI,Australian Foundation Investment Company Limited (ASX:AFI),https://www.listcorp.com/asx/afi/australian-foundation-investment-company-limited,"	9518300000",7.5,-0.09,-1.19,Financials
AMC,Amcor Limited (ASX:AMC),https://www.listcorp.com/asx/amc/amcor-limited,"	9480670000",14.57,-0.2,-1.35,Materials
LYC,Lynas Rare Earths Limited (ASX:LYC),https://www.listcorp.com/asx/lyc/lynas-rare-earths-limited,"	9345110000",10.13,0.14,1.4,Materials
ALQ,ALS Limited (ASX:ALQ),https://www.listcorp.com/asx/alq/als-limited,"	9185390000",17.97,-0.14,-0.77,Industrials
NXT,NEXTDC Limited (ASX:NXT),https://www.listcorp.com/asx/nxt/nextdc-limited,"	9119520000",14.22,-0.02,-0.14,Information Technology
NWL,Netwealth Group Limited (ASX:NWL),https://www.listcorp.com/asx/nwl/netwealth-group-limited,"	9097650000",36.45,-0.68,-1.83,Financials
RHC,Ramsay Health Care Limited (ASX:RHC),https://www.listcorp.com/asx/rhc/ramsay-health-care-limited,"	8965430000",38.17,-0.67,-1.73,Health Care
MGR,Mirvac Group (ASX:MGR),https://www.listcorp.com/asx/mgr/mirvac-group,"	8878190000",2.23,-0.02,-0.89,Real Estate
SEK,SEEK Limited (ASX:SEK),https://www.listcorp.com/asx/sek/seek-limited,"	8687600000",24.3,-0.02,-0.08,Communication Services
HUB,HUB24 Limited (ASX:HUB),https://www.listcorp.com/asx/hub/hub24-limited,"	8571040000",103.63,-1.96,-1.86,Financials
TLX,Telix Pharmaceuticals Limited (ASX:TLX),https://www.listcorp.com/asx/tlx/telix-pharmaceuticals-limited,"	8547960000",24.98,-0.28,-1.11,Health Care
REH,Reece Limited (ASX:REH),https://www.listcorp.com/asx/reh/reece-limited,"	8546370000",13.15,-0.08,-0.6,Industrials
MCY,Mercury NZ Limited (ASX:MCY),https://www.listcorp.com/asx/mcy/mercury-nz-limited,"	8019700000",5.68,-0.02,-0.35,Utilities
A200,BetaShares Australia 200 ETF (ASX:A200),https://www.listcorp.com/asx/a200/betashares-australia-200-etf,"	7763480000",144.4,-1.58,-1.08,Unclassified
QUB,Qube Holdings Limited (ASX:QUB),https://www.listcorp.com/asx/qub/qube-holdings-limited,"	7731020000",4.4,0.03,0.69,Industrials
YAL,Yancoal Australia Ltd (ASX:YAL),https://www.listcorp.com/asx/yal/yancoal-australia-ltd,"	7711370000",6.08,0.24,4.11,Energy
DXS,Dexus (ASX:DXS),https://www.listcorp.com/asx/dxs/dexus,"	7539710000",7,-0.01,-0.14,Real Estate
ALX,Atlas Arteria (ASX:ALX),https://www.listcorp.com/asx/alx/atlas-arteria,"	7471790000",5.16,0.01,0.19,Industrials
EBO,EBOS Group Limited (ASX:EBO),https://www.listcorp.com/asx/ebo/ebos-group-limited,"	7424160000",36.79,0.26,0.71,Health Care
IOZ,iShares Core S&P/ASX 200 ETF (ASX:IOZ),https://www.listcorp.com/asx/ioz/ishares-core-s-and-p-asx-200-etf,"	7403650000",34.83,-0.34,-0.97,Unclassified
QUAL,VanEck MSCI International Quality ETF (ASX:QUAL),https://www.listcorp.com/asx/qual/vaneck-msci-international-quality-etf,"	7328920000",57.61,-0.31,-0.54,Unclassified
BEN,Bendigo and Adelaide Bank Limited (ASX:BEN),https://www.listcorp.com/asx/ben/bendigo-and-adelaide-bank-limited,"	7298530000",12.48,-0.37,-2.88,Financials
EDV,Endeavour Group Limited (ASX:EDV),https://www.listcorp.com/asx/edv/endeavour-group-limited,"	7217650000",4.05,0.02,0.5,Consumer Staples
MGOC,Magellan Global Fund (Open Class) (Managed Fund) (ASX:MGOC),https://www.listcorp.com/asx/mgoc/magellan-global-fund-open-class-managed-fund,"	7108350000",3.11,0,0,Unclassified
HVN,Harvey Norman Holdings Limited (ASX:HVN),https://www.listcorp.com/asx/hvn/harvey-norman-holdings-limited,"	7039940000",5.6,-0.05,-0.88,Consumer Discretionary
ARG,Argo Investments Limited (ASX:ARG),https://www.listcorp.com/asx/arg/argo-investments-limited,"	7031610000",9.2,-0.04,-0.43,Financials
WOR,Worley Limited (ASX:WOR),https://www.listcorp.com/asx/wor/worley-limited,"	6984190000",13.02,-0.18,-1.36,Industrials
MEZ,Meridian Energy Limited (ASX:MEZ),https://www.listcorp.com/asx/mez/meridian-energy-limited,"	6757050000",5.22,-0.08,-1.51,Utilities
GQG,GQG Partners Inc. (ASX:GQG),https://www.listcorp.com/asx/gqg/gqg-partners,"	6708510000",2.23,-0.04,-1.76,Financials
NDQ,BetaShares NASDAQ 100 ETF (ASX:NDQ),https://www.listcorp.com/asx/ndq/betashares-nasdaq-100-etf,"	6693900000",52.28,-0.18,-0.34,Unclassified
SDF,Steadfast Group Limited (ASX:SDF),https://www.listcorp.com/asx/sdf/steadfast-group,"	6637740000",5.94,-0.06,-1,Financials
TWE,Treasury Wine Estates Limited (ASX:TWE),https://www.listcorp.com/asx/twe/treasury-wine-estates-limited,"	6605010000",8.09,-0.05,-0.61,Consumer Staples
AGL,AGL Energy Limited (ASX:AGL),https://www.listcorp.com/asx/agl/agl-energy-limited,"	6545830000",9.74,0.01,0.1,Utilities
ALD,Ampol Limited (ASX:ALD),https://www.listcorp.com/asx/ald/ampol-limited,"	6500880000",27.22,-0.06,-0.22,Energy
CWY,Cleanaway Waste Management Limited (ASX:CWY),https://www.listcorp.com/asx/cwy/cleanaway-waste-management-limited,"	6428140000",2.87,-0.01,-0.35,Industrials
360,"Life360, Inc. (ASX:360)",https://www.listcorp.com/asx/360/life360-inc.,"	6308880000",37.52,0.41,1.1,Information Technology
STW,SPDR S&P/ASX 200 Fund (ASX:STW),https://www.listcorp.com/asx/stw/spdr-s-and-p-asx-200-fund,"	6144000000",77.87,-0.81,-1.03,Unclassified
DACE,Dimensional Australian Core Equity Trust (Managed Fund) (ASX:DACE),https://www.listcorp.com/asx/dace/dimensional-australian-core-equity-trust-managed-fund,"	6012700000",17.6,-0.17,-0.96,Unclassified
CGF,Challenger Limited (ASX:CGF),https://www.listcorp.com/asx/cgf/challenger-limited,"	5780070000",8.28,-0.08,-0.96,Financials
VTS,Vanguard US Total Market Shares Index ETF (ASX:VTS),https://www.listcorp.com/asx/vts/vanguard-us-total-market-shares-index-etf,"	5745330000",475.81,-1.77,-0.37,Unclassified
MIN,Mineral Resources Limited (ASX:MIN),https://www.listcorp.com/asx/min/mineral-resources-limited,"	5714760000",29.99,0.91,3.13,Materials
AZJ,Aurizon Holdings Limited (ASX:AZJ),https://www.listcorp.com/asx/azj/aurizon-holdings-limited,"	5688940000",3.22,-0.03,-0.92,Industrials
A2M,The A2 Milk Company Limited (ASX:A2M),https://www.listcorp.com/asx/a2m/the-a2-milk-company,"	5596670000",7.76,0.03,0.39,Consumer Staples
PLS,Pilbara Minerals Limited (ASX:PLS),https://www.listcorp.com/asx/pls/pilbara-minerals-limited,"	5502660000",1.78,0.07,4.09,Materials
DNL,Dyno Nobel Limited (ASX:DNL),https://www.listcorp.com/asx/dnl/dyno-nobel-limited,"	5289790000",2.9,0.01,0.35,Materials
PNI,Pinnacle Investment Management Group Limited (ASX:PNI),https://www.listcorp.com/asx/pni/pinnacle-investment-management-group-limited,"	5223200000",21.82,-1.21,-5.25,Financials
BOQ,Bank of Queensland Limited (ASX:BOQ),https://www.listcorp.com/asx/boq/bank-of-queensland-limited,"	5218990000",7.64,-0.25,-3.17,Financials
BKW,Brickworks Limited (ASX:BKW),https://www.listcorp.com/asx/bkw/brickworks-limited,"	5166480000",33.37,-0.41,-1.21,Materials
WHC,Whitehaven Coal Limited (ASX:WHC),https://www.listcorp.com/asx/whc/whitehaven-coal,"	5136050000",6.42,0.25,4.05,Energy
VHY,Vanguard Australian Shares High Yield ETF (ASX:VHY),https://www.listcorp.com/asx/vhy/vanguard-australian-shares-high-yield-etf,"	5053120000",75,-0.7,-0.92,Unclassified
APE,Eagers Automotive Limited (ASX:APE),https://www.listcorp.com/asx/ape/eagers-automotive-limited,"	5053090000",18.88,-0.7,-3.58,Consumer Discretionary
SFR,Sandfire Resources Limited (ASX:SFR),https://www.listcorp.com/asx/sfr/sandfire-resources-limited,"	5026840000",11.12,0.17,1.55,Materials
VGAD,Vanguard MSCI Index International Shares (Hedged) ETF (ASX:VGAD),https://www.listcorp.com/asx/vgad/vanguard-msci-index-international-shares-hedged-etf,"	4992090000",109.43,-0.24,-0.22,Unclassified
XYZ,Block Inc. (ASX:XYZ),https://www.listcorp.com/asx/xyz/block-inc,"	4959460000",122,12.27,11.18,Financials
PRU,Perseus Mining Limited (ASX:PRU),https://www.listcorp.com/asx/pru/perseus-mining-limited,"	4882570000",3.53,-0.07,-1.94,Materials
LNW,Light & Wonder Inc (ASX:LNW),https://www.listcorp.com/asx/lnw/light-and-wonder-inc,"	4739120000",148.27,-3.06,-2.02,Consumer Discretionary
IOO,iShares Global 100 ETF (ASX:IOO),https://www.listcorp.com/asx/ioo/ishares-global-100-etf,"	4669610000",168.12,-0.39,-0.23,Unclassified
DOW,Downer EDI Limited (ASX:DOW),https://www.listcorp.com/asx/dow/downer-edi-limited,"	4654010000",6.88,-0.05,-0.72,Industrials
DGCE,Dimensional Global Core Equity Trust (Managed Fund)  Unhedged Class (ASX:DGCE),https://www.listcorp.com/asx/dgce/dimensional-global-core-equity-trust-managed-fund-unhedged-class,"	4588310000",28.4,-0.16,-0.56,Unclassified
ANN,Ansell Limited (ASX:ANN),https://www.listcorp.com/asx/ann/ansell-limited,"	4525750000",30.66,-0.35,-1.13,Health Care
GGP,Greatland Resources Limited (ASX:GGP),https://www.listcorp.com/asx/ggp/greatland-resources-limited,"	4473030000",6.72,0.05,0.75,Materials
BRG,Breville Group Limited (ASX:BRG),https://www.listcorp.com/asx/brg/breville-group-limited,"	4467970000",30.6,-0.44,-1.42,Consumer Discretionary
GMD,Genesis Minerals Limited (ASX:GMD),https://www.listcorp.com/asx/gmd/genesis-minerals-limited,"	4443050000",3.87,-0.06,-1.53,Materials
VNT,Ventia Services Group Limited (ASX:VNT),https://www.listcorp.com/asx/vnt/ventia-services-group-limited,"	4414970000",5.21,-0.07,-1.33,Industrials
SPK,Spark New Zealand Limited (ASX:SPK),https://www.listcorp.com/asx/spk/spark-new-zealand-limited,"	4402120000",2.36,0.03,1.29,Communication Services
MTS,Metcash Limited (ASX:MTS),https://www.listcorp.com/asx/mts/metcash-limited,"	4339400000",3.91,-0.04,-1.01,Consumer Staples
VEU,Vanguard All-World Ex-US Shares Index ETF (ASX:VEU),https://www.listcorp.com/asx/veu/vanguard-all-world-ex-us-shares-index-etf,"	4244560000",103.6,-0.26,-0.25,Unclassified
AUB,AUB Group Limited (ASX:AUB),https://www.listcorp.com/asx/aub/aub-group-limited,"	4075900000",34.03,-0.93,-2.66,Financials
AAA,BetaShares Australian High Interest Cash ETF (ASX:AAA),https://www.listcorp.com/asx/aaa/betashares-australian-high-interest-cash-etf,"	4072110000",50.2,0.01,0.02,Unclassified
CMM,Capricorn Metals Ltd (ASX:CMM),https://www.listcorp.com/asx/cmm/capricorn-metals-ltd,"	4053020000",9.19,-0.21,-2.23,Materials
BFL,BSP Financial Group Limited (ASX:BFL),https://www.listcorp.com/asx/bfl/bsp-financial-group-limited,"	3957350000",8.47,0,0,Financials
ZIP,Zip Co Limited (ASX:ZIP),https://www.listcorp.com/asx/zip/zip-co-limited,"	3937040000",3,-0.05,-1.64,Financials
AMP,AMP Limited (ASX:AMP),https://www.listcorp.com/asx/amp/amp-limited,"	3886220000",1.685,0.15,9.77,Financials
LOV,Lovisa Holdings Limited (ASX:LOV),https://www.listcorp.com/asx/lov/lovisa-holdings-limited,"	3749940000",33.52,-0.35,-1.03,Consumer Discretionary
IGO,IGO Limited (ASX:IGO),https://www.listcorp.com/asx/igo/igo-limited,"	3740900000",4.97,0.03,0.61,Materials
CEN,Contact Energy Limited (ASX:CEN),https://www.listcorp.com/asx/cen/contact-energy-limited,"	3731790000",8.26,0.01,0.12,Utilities
VEA,Viva Energy Group Limited (ASX:VEA),https://www.listcorp.com/asx/vea/viva-energy-group-limited,"	3713940000",2.27,-0.03,-1.3,Energy
CDA,Codan Limited (ASX:CDA),https://www.listcorp.com/asx/cda/codan-limited,"	3674990000",20.35,0.11,0.54,Information Technology
LLC,Lendlease Group (ASX:LLC),https://www.listcorp.com/asx/llc/lendlease-group,"	3630410000",5.18,-0.08,-1.52,Real Estate
HYGG,Hyperion Global Growth Companies Fund (Managed Fund) (ASX:HYGG),https://www.listcorp.com/asx/hygg/hyperion-global-growth-companies-fund-managed-fund,"	3600790000",7.1,-0.01,-0.14,Unclassified
NHF,NIB Holdings Limited (ASX:NHF),https://www.listcorp.com/asx/nhf/nib-holdings-limited,"	3574700000",7.31,-0.03,-0.41,Financials
ETHI,BetaShares Global Sustainability Leaders ETF (ASX:ETHI),https://www.listcorp.com/asx/ethi/betashares-global-sustainability-leaders-etf,"	3518750000",15.66,-0.11,-0.7,Unclassified
GOR,Gold Road Resources Limited (ASX:GOR),https://www.listcorp.com/asx/gor/gold-road-resources,"	3476480000",3.17,-0.03,-0.94,Materials
CNU,Chorus Limited (ASX:CNU),https://www.listcorp.com/asx/cnu/chorus-limited,"	3471100000",7.89,-0.11,-1.38,Communication Services
NHC,New Hope Corporation Limited (ASX:NHC),https://www.listcorp.com/asx/nhc/new-hope-corporation-limited,"	3432060000",4.16,0.1,2.46,Energy
SUL,Super Retail Group Limited (ASX:SUL),https://www.listcorp.com/asx/sul/super-retail-group-limited,"	3403210000",14.93,-0.14,-0.93,Consumer Discretionary
RRL,Regis Resources Limited (ASX:RRL),https://www.listcorp.com/asx/rrl/regis-resources-limited,"	3378440000",4.3,-0.17,-3.8,Materials
DFGH,Dimensional Global Core Equity Trust (Managed Fund)  AUD Hedged Class (ASX:DFGH),https://www.listcorp.com/asx/dfgh/dimensional-global-core-equity-trust-managed-fund-aud-hedged-class,"	3363870000",37.23,-0.21,-0.56,Unclassified
NIC,Nickel Industries Limited (ASX:NIC),https://www.listcorp.com/asx/nic/nickel-industries-limited,"	3320820000",0.765,0,0,Materials
RWC,Reliance Worldwide Corporation Limited (ASX:RWC),https://www.listcorp.com/asx/rwc/reliance-worldwide-corporation-limited,"	3295280000",4.25,-0.01,-0.23,Industrials
NSR,National Storage REIT (ASX:NSR),https://www.listcorp.com/asx/nsr/national-storage-reit,"	3269880000",2.35,0,0,Real Estate
PMV,Premier Investments Limited (ASX:PMV),https://www.listcorp.com/asx/pmv/premier-investments-limited,"	3267950000",19.99,-0.45,-2.2,Consumer Discretionary
SGM,Sims Limited (ASX:SGM),https://www.listcorp.com/asx/sgm/sims-limited,"	3207510000",16.4,-0.2,-1.2,Materials
VAP,Vanguard Australian Property Securities Index ETF (ASX:VAP),https://www.listcorp.com/asx/vap/vanguard-australian-property-securities-index-etf,"	3122110000",99.8,-0.43,-0.43,Unclassified
PDN,Paladin Energy Limited (ASX:PDN),https://www.listcorp.com/asx/pdn/paladin-energy,"	3120680000",8,0.18,2.3,Energy
BPT,Beach Energy Limited (ASX:BPT),https://www.listcorp.com/asx/bpt/beach-energy-limited,"	3114020000",1.375,0.01,0.73,Energy
VBND,Vanguard Global Aggregate Bond Index (Hedged) ETF (ASX:VBND),https://www.listcorp.com/asx/vbnd/vanguard-global-aggregate-bond-index-hedged-etf,"	3089980000",41.88,-0.03,-0.07,Unclassified
MSB,Mesoblast Limited (ASX:MSB),https://www.listcorp.com/asx/msb/mesoblast-limited,"	3084720000",2.31,-0.1,-4.15,Health Care
VDHG,Vanguard Diversified High Growth Index ETF (ASX:VDHG),https://www.listcorp.com/asx/vdhg/vanguard-diversified-high-growth-index-etf,"	3051310000",70.64,-0.37,-0.52,Unclassified
IAF,iShares Core Composite Bond ETF (ASX:IAF),https://www.listcorp.com/asx/iaf/ishares-core-composite-bond-etf,"	3040020000",103.16,0.05,0.05,Unclassified
DRO,Droneshield Limited (ASX:DRO),https://www.listcorp.com/asx/dro/droneshield-limited,"	2999940000",3.66,0.23,6.71,Industrials
FBU,Fletcher Building Limited (ASX:FBU),https://www.listcorp.com/asx/fbu/fletcher-building-limited,"	2998960000",2.79,0,0,Industrials
CLW,Charter Hall Long WALE REIT (ASX:CLW),https://www.listcorp.com/asx/clw/charter-hall-long-wale-reit,"	2925900000",4.1,-0.02,-0.49,Real Estate
FLT,Flight Centre Travel Group Limited (ASX:FLT),https://www.listcorp.com/asx/flt/flight-centre-travel-group-limited,"	2914470000",12.98,-0.4,-2.99,Consumer Discretionary
RMS,Ramelius Resources Limited (ASX:RMS),https://www.listcorp.com/asx/rms/ramelius-resources,"	2909420000",2.46,-0.05,-1.99,Materials
MVW,Vaneck Vectors Australian Equal Weight ETF (ASX:MVW),https://www.listcorp.com/asx/mvw/vaneck-vectors-australian-equal-weight-etf,"	2869190000",38.97,-0.25,-0.64,Unclassified
ARB,ARB Corporation Limited (ASX:ARB),https://www.listcorp.com/asx/arb/arb-corporation-limited,"	2865800000",33.99,-0.47,-1.36,Consumer Discretionary
GYG,Guzman y Gomez Limited (ASX:GYG),https://www.listcorp.com/asx/gyg/guzman-y-gomez-limited,"	2839980000",27.47,-0.14,-0.51,Consumer Discretionary
AAI,Alcoa Corporation (ASX:AAI),https://www.listcorp.com/asx/aai/alcoa-corporation,"	2823140000",47.25,1.42,3.1,Unclassified
IFL,Insignia Financial Ltd (ASX:IFL),https://www.listcorp.com/asx/ifl/insignia-financial-ltd,"	2796930000",3.93,-0.24,-5.76,Financials
DHG,Domain Holdings Australia Limited (ASX:DHG),https://www.listcorp.com/asx/dhg/domain-holdings-australia-limited,"	2779290000",4.4,0,0,Communication Services
ORA,Orora Group Limited (ASX:ORA),https://www.listcorp.com/asx/ora/orora-group-limited,"	2729300000",2.1,-0.03,-1.41,Materials
EVT,EVT Limited (ASX:EVT),https://www.listcorp.com/asx/evt/evt-limited,"	2720630000",16.37,-0.37,-2.21,Communication Services
VAF,Vanguard Australian Fixed Interest Index ETF (ASX:VAF),https://www.listcorp.com/asx/vaf/vanguard-australian-fixed-interest-index-etf,"	2715470000",46.23,-0.04,-0.09,Unclassified
NEC,Nine Entertainment Co. Holdings Limited (ASX:NEC),https://www.listcorp.com/asx/nec/nine-entertainment-co-holdings-limited,"	2711650000",1.7,-0.01,-0.58,Communication Services
IHVV,iShares S&P 500 (AUD Hedged) ETF (ASX:IHVV),https://www.listcorp.com/asx/ihvv/ishares-s-and-p-500-aud-hedged-etf,"	2702870000",57.41,-0.12,-0.21,Unclassified
TPW,Temple & Webster Group Limited (ASX:TPW),https://www.listcorp.com/asx/tpw/temple-and-webster-group-limited,"	2689410000",22.54,-0.1,-0.44,Consumer Discretionary
