ASX Code,Company Name,Link,Market Cap,Last trade,Change,%Change,Sector
JGH,Jade Gas Holdings Limited (ASX:JGH),https://www.listcorp.com/asx/jgh/jade-gas-holdings-limited,"	62412900",0.037,0,0,Energy
VRX,VRX Silica Ltd (ASX:VRX),https://www.listcorp.com/asx/vrx/vrx-silica-ltd,"	62026200",0.088,0,6.02,Materials
VFY,Vitrafy Life Sciences Limited (ASX:VFY),https://www.listcorp.com/asx/vfy/vitrafy-life-sciences-limited,"	61802000",1.49,-0.01,-0.67,Health Care
NVU,Nanoveu Limited (ASX:NVU),https://www.listcorp.com/asx/nvu/nanoveu-limited,"	61780700",0.063,-0.01,-10,Information Technology
SPG,SPC Global Holdings Limited (ASX:SPG),https://www.listcorp.com/asx/spg/spc-global-holdings-limited,"	61754200",0.31,-0.01,-3.13,Consumer Staples
TER,TerraCom Limited (ASX:TER),https://www.listcorp.com/asx/ter/terracom-limited,"	61674400",0.077,0,0,Energy
AS1,Asara Resources Limited (ASX:AS1),https://www.listcorp.com/asx/as1/asara-resources-limited,"	61666000",0.056,0,0,Materials
CLNE,VanEck Global Clean Energy ETF (ASX:CLNE),https://www.listcorp.com/asx/clne/vaneck-global-clean-energy-etf,"	61518000",6.42,0.11,1.74,Unclassified
LKE,Lake Resources NL (ASX:LKE),https://www.listcorp.com/asx/lke/lake-resources,"	61307100",0.036,0,5.88,Materials
HAV,Havilah Resources Limited (ASX:HAV),https://www.listcorp.com/asx/hav/havilah-resources-limited,"	61066100",0.185,0.01,2.78,Materials
PFG,Prime Financial Group Limited (ASX:PFG),https://www.listcorp.com/asx/pfg/prime-financial-group-limited,"	60858800",0.23,-0.01,-3.16,Financials
SDV,SciDev Limited (ASX:SDV),https://www.listcorp.com/asx/sdv/scidev-limited,"	60828200",0.32,0,0,Materials
MQIO,Macquarie Income Opportunities Active ETF (Managed Fund) (ASX:MQIO),https://www.listcorp.com/asx/mqio/macquarie-income-opportunities-active-etf-managed-fund,"	60726500",10.67,0,0,Unclassified
FOOD,BetaShares Global Agriculture Companies ETF - Currency Hedged (ASX:FOOD),https://www.listcorp.com/asx/food/betashares-global-agriculture-companies-etf-currency-hedged,"	60718700",6.95,0,0,Unclassified
SWTZ,Switzer Dividend Growth Fund (Quoted Managed Fund) (ASX:SWTZ),https://www.listcorp.com/asx/swtz/switzer-dividend-growth-fund-quoted-managed-fund,"	60651700",2.43,-0.03,-1.22,Unclassified
RIM,Rimfire Pacific Mining Limited (ASX:RIM),https://www.listcorp.com/asx/rim/rimfire-pacific-mining-limited,"	60621500",0.024,0,0,Materials
